"ID","householdID","communityID","Birth_Year","Birth_Month","ba003","Current_Hukou","Marital_Status","bf004","Adult_Edu","Age_2011","Edu_Group","Area_Type"
"01405121101","014051211","0140512",1950,11,2,"1","4",4,0,61,1,"1"
"01405121301","014051213","0140512",1941,3,2,"1","1",NA,0,70,2,"1"
"01405121302","014051213","0140512",1943,5,2,"1","1",NA,0,68,1,"1"
"01405121701","014051217","0140512",1951,8,2,"1","1",NA,0,60,1,"1"
"01405121702","014051217","0140512",1947,12,1,"1","1",NA,0,64,2,"1"
"01405122201","014051222","0140512",1945,5,1,"1","1",NA,0,66,2,"1"
"01405122301","014051223","0140512",1946,3,2,"1","5",NA,0,65,1,"1"
"01405122401","014051224","0140512",1933,6,2,"2","1",NA,0,78,2,"1"
"01405122402","014051224","0140512",1942,2,2,"1","1",NA,0,69,1,"1"
"01405122501","014051225","0140512",1951,12,2,"1","1",NA,0,60,1,"1"
"01405122502","014051225","0140512",1946,1,2,"1","1",NA,0,65,2,"1"
